X,Y,DMC,DC,ISI,temp,RH,wind,rain,area,FFMC
2,2,117.9,668,12.2,23,37,4.5,0,0,92.4
2,2,117.9,668,12.2,19.6,33,5.4,0,0,92.4
2,2,117.9,668,12.2,19.6,33,6.3,0,0,92.4
4,5,33.3,77.5,9,17.2,26,4.5,0,0,91.7
4,5,48.3,97.8,12.5,15.8,27,7.6,0,0,91.2
4,5,85.1,692.3,15.9,17.7,37,3.6,0,0,94.3
5,4,33.3,77.5,9,15.6,25,6.3,0,0,91.7
5,4,147.3,614.5,9,17.3,43,4.5,0,0,88.8
5,4,141.2,713.9,13.9,27.6,30,1.3,0,0,93.3
9,9,6.8,26.6,7.7,6.7,79,3.1,0,0,84.2
9,9,13.2,43,5.3,15.7,43,3.1,0,0,86.6
1,3,52.2,103.8,5,8.3,72,3.1,0,0,87.6
1,2,108,529.8,12.5,14.7,66,2.7,0,0,90.1
1,2,121.2,561.6,7,21.6,19,6.7,0,0,91
1,2,142.4,601.4,10.6,19.5,39,6.3,0,0,91.4
1,2,99.6,631.2,6.3,17.9,44,2.2,0,0,90.2
1,2,108.3,647.1,17,18.6,51,4.5,0,0,94.8
1,2,111.2,654.1,9.6,16.6,47,0.9,0,0,92.1
1,2,114.3,661.3,6.3,20.2,45,3.6,0,0,91.7
1,2,137,706.4,9.2,21.5,15,0.9,0,0,92.9
1,2,137,706.4,9.2,25.4,27,2.2,0,0,92.9
1,2,137,706.4,9.2,22.4,34,2.2,0,0,92.9
1,2,149.3,728.6,8.1,25.3,36,3.6,0,0,93.5
6,5,35.8,80.8,7.8,17.4,25,4.9,0,0,91.7
6,5,96.9,624.2,8.9,14.7,59,5.8,0,0,90.2
8,6,35.8,80.8,7.8,17.4,24,5.4,0,0,91.7
8,6,85.3,488,14.7,20.8,32,6.3,0,0,92.3
8,6,142.4,601.4,10.6,18.2,43,4.9,0,0,91.4
8,6,103.2,638.8,5.8,23.4,22,2.7,0,0,91.1
4,4,90,704.4,4.8,17.8,64,1.3,0,0,89.7
3,4,8,30.2,2.6,12.7,48,1.8,0,0,83.9
3,4,2.4,15.5,0.7,17.4,24,5.4,0,0,69
3,4,142.4,601.4,10.6,11.6,87,4.5,0,0,91.4
3,4,142.4,601.4,10.6,19.8,39,5.4,0,0,91.4
3,4,142.4,601.4,10.6,19.8,39,5.4,0,0,91.4
3,4,147.3,614.5,9,14.4,66,5.4,0,0,88.8
2,4,108.3,647.1,17,20.1,40,4,0,0,94.8
2,4,121.1,674.4,8.6,24.1,29,4.5,0,0,92.5
2,4,3.7,9.3,2.9,5.3,78,3.1,0,0,82.1
4,5,19.5,57.3,2.8,12.7,52,6.3,0,0,85.9
4,5,30.7,74.3,7.5,18.2,29,3.1,0,0,91.4
4,5,99.6,631.2,6.3,21.4,33,3.1,0,0,90.2
4,5,88,698.6,7.1,20.3,45,3.1,0,0,92.5
4,5,91.8,709.9,7.1,17.4,56,5.4,0,0,88.6
4,4,19.5,57.3,2.8,13.7,43,5.8,0,0,85.9
3,4,33.3,77.5,9,18.8,18,4.5,0,0,91.7
3,4,90,704.4,4.8,22.8,39,3.6,0,0,89.7
3,4,78.5,724.3,9.2,18.9,35,2.7,0,0,91.8
3,4,25.7,67.6,3.8,15.8,27,7.6,0,0,88.1
3,5,25.7,67.6,3.8,15.5,27,6.3,0,0,88.1
3,4,35.8,80.8,7.8,11.6,30,6.3,0,0,91.7
3,4,35.8,80.8,7.8,15.2,27,4.9,0,0,91.7
3,4,39.7,86.6,6.2,10.6,30,4,0,0,90.1
3,4,75.3,466.6,7.7,19.6,36,3.1,0,0,93
3,4,145.4,608.2,10.7,10.3,74,2.2,0,0,91.5
3,4,145.4,608.2,10.7,17.1,43,5.4,0,0,91.5
3,4,124.1,680.7,8.5,22.5,42,5.4,0,0,92.4
3,4,73.4,671.9,3.2,17.9,45,3.1,0,0,84.4
3,4,85.1,692.3,15.9,19.8,50,5.4,0,0,94.3
3,4,46.5,691.8,8.8,20.6,24,5.4,0,0,92.6
3,5,52.2,103.8,5,9,49,2.2,0,0,87.6
3,5,149.3,728.6,8.1,17.2,43,3.1,0,0,93.5
3,5,37.9,673.8,5.2,15.9,46,3.6,0,0,91.4
2,5,46.5,691.8,8.8,15.4,35,0.9,0,0,92.6
4,6,21.5,87.2,0.8,15.4,40,2.7,0,0,68.2
4,6,23.9,64.7,4.1,14,39,3.1,0,0,87.2
4,6,51.3,102.2,9.6,10.6,46,4.9,0,0,89.3
4,6,80.9,685.2,17.9,17.6,42,3.1,0,0,93.7
3,5,25.7,67.6,3.8,14.9,38,2.7,0,0,88.1
3,5,139.4,594.2,20.3,17.6,52,5.8,0,0,93.5
3,6,124.1,680.7,8.5,17.2,58,1.3,0,0,92.4
3,6,126.5,686.5,7,15.6,66,3.1,0,0,90.9
9,9,48.3,313.4,3.9,18,42,2.7,0,0.36,85.8
1,4,129.5,692.6,7,21.7,38,2.2,0,0.43,91
2,5,126.5,686.5,7,21.9,39,1.8,0,0.47,90.9
1,2,99.9,513.3,13.2,23.3,31,4.5,0,0.55,95.5
8,6,108,529.8,12.5,21.2,51,8.9,0,0.61,90.1
1,2,51.3,296.3,8.7,16.6,53,5.4,0,0.71,90
2,5,99.9,513.3,13.2,23.8,32,5.4,0,0.77,95.5
6,5,131.7,578.8,10.4,27.4,22,4,0,0.9,95.2
5,4,39.7,86.6,6.2,13.2,40,5.4,0,0.95,90.1
8,3,73.4,671.9,3.2,24.2,28,3.6,0,0.96,84.4
2,2,108.3,647.1,17,17.4,43,6.7,0,1.07,94.8
8,6,80.9,685.2,17.9,23.7,25,4.5,0,1.12,93.7
6,5,56.4,433.3,7.1,23.2,39,5.4,0,1.19,92.5
9,9,68.6,355.2,7.2,24.8,29,2.2,0,1.36,90.1
3,4,51.2,424.1,6.2,24.6,43,1.8,0,1.43,90.1
5,4,85.1,692.3,15.9,20.1,47,4.9,0,1.46,94.3
1,5,145.4,721.4,8.1,29.6,27,2.7,0,1.46,93.4
7,4,108.3,647.1,17,16.4,47,1.3,0,1.56,94.8
2,4,145.4,721.4,8.1,28.6,27,2.2,0,1.61,93.4
2,2,111.2,654.1,9.6,18.4,45,3.6,0,1.63,92.1
2,4,111.2,654.1,9.6,20.5,35,4,0,1.64,92.1
7,4,117.9,668,12.2,19,34,5.8,0,1.69,92.4
7,4,39.7,86.6,6.2,16.1,29,3.1,0,1.75,90.1
6,4,131.7,578.8,10.4,20.3,41,4,0,1.9,95.2
6,3,50.1,100.4,7.8,15.2,31,8.5,0,1.94,90.6
8,6,121.1,674.4,8.6,17.8,56,1.8,0,1.95,92.5
8,5,90,704.4,4.8,17.8,67,2.2,0,2.01,89.7
6,5,18.2,55,3,5.3,70,4.5,0,2.14,84.9
6,5,111.2,654.1,9.6,16.6,47,0.9,0,2.29,92.1
6,5,127.1,570.5,16.5,23.4,33,4.5,0,2.51,96
6,5,48.3,97.8,12.5,14.6,26,9.4,0,2.53,91.2
8,6,131.7,578.8,10.4,20.7,45,2.2,0,2.55,95.2
5,4,133.3,699.6,9.2,21.9,35,1.8,0,2.57,92.9
8,6,90.4,609.6,6.6,17.4,50,4,0,2.69,85.6
7,4,142.4,601.4,10.6,20.1,39,5.4,0,2.74,91.4
4,4,126.5,686.5,7,17.7,39,2.2,0,3.07,90.9
1,4,96.9,624.2,8.9,14.2,53,1.8,0,3.5,90.2
1,4,96.9,624.2,8.9,20.3,39,4.9,0,4.53,90.2
6,5,9.1,55.2,2.7,5.8,54,5.8,0,4.61,81.5
2,5,99.6,631.2,6.3,19.2,44,2.7,0,4.69,90.2
2,5,82.9,735.7,6.2,18.3,45,2.2,0,4.88,90.1
8,6,147.3,614.5,9,14.4,66,5.4,0,5.23,88.8
1,3,124.1,680.7,8.5,23.9,32,6.7,0,5.33,92.4
8,6,32.8,664.2,3,19.1,32,4,0,5.44,84.9
5,4,15.6,48.3,3.9,12.4,53,2.2,0,6.38,86.8
7,4,48.5,696.1,11.1,16.8,45,4.5,0,6.83,91.7
8,6,135.7,586.7,15.1,20.8,34,4.9,0,6.96,93.9
2,5,129.5,692.6,7,17.6,46,3.1,0,7.04,91
8,6,51.3,102.2,9.6,11.5,39,5.8,0,7.19,89.3
1,5,126.5,686.5,7,21,42,2.2,0,7.3,90.9
6,4,41.9,89.4,7.9,13.3,42,0.9,0,7.4,90.8
7,4,44,92.4,5.5,11.5,60,4,0,8.24,90.7
6,5,48.3,97.8,12.5,11.7,33,4,0,8.31,91.2
2,5,131.7,578.8,10.4,24.2,28,2.7,0,8.68,95.2
2,2,108.3,647.1,17,24.6,22,4.5,0,8.71,94.8
4,5,133.3,699.6,9.2,24.3,25,4,0,9.41,92.9
2,2,108.3,647.1,17,24.6,22,4.5,0,10.01,94.8
2,5,135.7,586.7,15.1,23.5,36,5.4,0,10.02,93.9
6,5,9.1,55.2,2.7,5.8,54,5.8,0,10.93,81.5
4,5,137,706.4,9.2,21.5,15,0.9,0,11.06,92.9
3,4,129.5,692.6,7,13.9,59,6.3,0,11.24,91
2,4,70.8,665.3,0.8,22.6,38,3.6,0,11.32,63.5
1,5,129.5,692.6,7,21.6,33,2.2,0,11.53,91
6,5,37.6,83.7,7.2,12.4,54,3.6,0,12.1,90.1
7,4,8.7,32.1,2.1,8.8,68,2.2,0,13.05,83.9
8,6,37.9,673.8,5.2,20.2,37,2.7,0,13.7,91.4
5,6,50.1,100.4,7.8,15.1,64,4,0,13.99,90.6
4,5,137,706.4,9.2,22.1,34,1.8,0,14.57,92.9
2,2,139.4,594.2,20.3,22.9,31,7.2,0,15.45,93.5
7,5,129.5,692.6,7,20.7,37,2.2,0,17.2,91
6,5,117.9,668,12.2,19.6,33,6.3,0,19.23,92.4
8,3,80.9,685.2,17.9,23.2,26,4.9,0,23.41,93.7
4,4,43.7,686.9,6.7,18.4,25,3.1,0,24.23,90.6
7,4,139.4,594.2,20.3,5.1,96,5.8,0,26,93.5
7,4,85.1,692.3,15.9,20.1,47,4.9,0,26.13,94.3
7,3,52.2,103.8,5,11,46,5.8,0,27.35,87.6
4,4,35.8,80.8,7.8,17,27,4.9,0,28.66,91.7
4,4,35.8,80.8,7.8,17,27,4.9,0,28.66,91.7
4,4,124.1,680.7,8.5,16.9,60,1.3,0,29.48,92.4
1,3,91.8,709.9,7.1,12.4,73,6.3,0,30.32,88.6
4,5,133.3,699.6,9.2,19.4,19,1.3,0,31.72,92.9
6,5,39.7,86.6,6.2,15.2,27,3.1,0,31.86,90.1
8,6,99.6,631.2,6.3,16.2,59,3.1,0,32.07,90.2
3,4,141.2,713.9,13.9,18.6,49,3.6,0,35.88,93.3
4,3,52.2,103.8,5,11,46,5.8,0,36.85,87.6
2,2,150.3,309.9,6.8,13.4,79,3.6,0,37.02,88.3
7,4,82.9,735.7,6.2,15.4,57,4.5,0,37.71,90.1
4,4,149.3,728.6,8.1,22.9,39,4.9,0,48.55,93.5
7,5,48.5,696.1,11.1,16.1,44,4,0,49.37,91.7
8,6,81.8,480.8,11.9,20.1,34,4.5,0,58.3,92.2
4,6,149.3,728.6,8.1,28.3,26,3.1,0,64.1,93.5
8,6,81.8,480.8,11.9,16.4,43,4,0,71.3,92.2
4,4,133.3,699.6,9.2,26.4,21,4.5,0,88.49,92.9
1,5,149.3,728.6,8.1,27.8,27,3.1,0,95.18,93.5
6,4,129.5,692.6,7,18.7,43,2.7,0,103.39,91
9,4,73.4,671.9,3.2,24.3,36,3.1,0,105.66,84.4
4,5,121.1,674.4,8.6,17.7,25,3.1,0,154.88,92.5
8,6,142.4,601.4,10.6,19.6,41,5.8,0,196.48,91.4
2,2,121.1,674.4,8.6,18.2,46,1.8,0,200.94,92.5
1,2,129.5,692.6,7,18.8,40,2.2,0,212.88,91
6,5,121.1,674.4,8.6,25.1,27,4,0,1090.84,92.5
7,5,3,7.9,3.5,13.4,75,1.8,0,0,81.9
6,3,17.2,43.5,3.8,15.2,51,2.7,0,0,88
4,4,23.3,85.3,2.3,16.7,20,3.1,0,0,83
2,4,122.3,589.9,12.9,15.4,66,4,0,10.13,94.2
7,4,175.1,700.7,13.8,21.9,73,7.6,1,0,91.8
2,4,175.1,700.7,13.8,22.4,54,7.6,0,2.87,91.8
3,4,175.1,700.7,13.8,26.8,38,6.3,0,0.76,91.8
5,4,175.1,700.7,13.8,25.7,39,5.4,0,0.09,91.8
2,4,91.6,503.6,9.6,20.7,70,2.2,0,0.75,92.2
8,6,157.3,666.7,13.5,28.7,28,2.7,0,0,93.1
3,4,157.3,666.7,13.5,21.7,40,0.4,0,2.47,93.1
8,5,157.3,666.7,13.5,26.8,25,3.1,0,0.68,93.1
8,5,157.3,666.7,13.5,24,36,3.1,0,0.24,93.1
6,5,157.3,666.7,13.5,22.1,37,3.6,0,0.21,93.1
7,4,109.2,565.5,8,21.4,38,2.7,0,1.52,91.9
6,3,138.1,621.7,6.3,18.9,41,3.1,0,10.34,91.6
2,5,77,694.8,5,22.3,46,4,0,0,87.5
8,6,117.2,581.1,11,23.9,41,2.2,0,8.02,94.2
4,3,117.2,581.1,11,21.4,44,2.7,0,0.68,94.2
3,4,170.9,692.3,13.7,20.6,59,0.9,0,0,91.8
7,4,170.9,692.3,13.7,23.7,40,1.8,0,1.38,91.8
2,4,97.9,542,14.4,28.3,32,4,0,8.85,93.6
3,4,112.4,573,8.9,11.2,84,7.6,0,3.3,91.6
2,4,112.4,573,8.9,21.4,42,3.1,0,4.25,91.6
6,3,141.1,629.1,7.1,19.3,39,3.6,0,1.56,91.1
4,4,167.6,684.4,13,21.8,53,3.1,0,6.54,94.3
4,4,102.2,550.3,14.6,22.1,54,7.6,0,0.79,93.7
6,5,131.7,607.1,22.7,19.4,55,4,0,0.17,94.3
2,2,152.6,658.2,14.3,23.7,24,3.1,0,0,92.1
3,4,152.6,658.2,14.3,21,32,3.1,0,0,92.1
4,4,152.6,658.2,14.3,19.1,53,2.7,0,4.4,92.1
2,2,152.6,658.2,14.3,21.8,56,3.1,0,0.52,92.1
8,6,152.6,658.2,14.3,20.1,58,4.5,0,9.27,92.1
2,5,152.6,658.2,14.3,20.2,47,4,0,3.09,92.1
4,6,27.2,353.5,6.8,4.8,57,8.5,0,8.98,84.4
8,6,27.8,354.6,5.3,5.1,61,8,0,11.19,84
4,6,26.4,352,2,5.1,61,4.9,0,5.38,84.6
4,4,25.4,349.7,2.6,4.6,21,8.5,0,17.85,85.4
3,4,25.4,349.7,2.6,4.6,21,8.5,0,10.73,85.4
4,4,25.4,349.7,2.6,4.6,21,8.5,0,22.03,85.4
4,4,25.4,349.7,2.6,4.6,21,8.5,0,9.77,85.4
4,6,26.7,352.6,4.1,2.2,59,4.9,0,9.27,84.7
6,5,25.4,349.7,2.6,5.1,24,8.5,0,24.77,85.4
6,3,27.5,353.5,3.4,4.2,51,4,0,0,84.9
3,4,6.6,18.7,3.2,8.8,35,3.1,0,1.1,86.9
5,4,4.9,15.8,6.3,7.5,46,8,0,24.24,85.2
2,5,169.7,411.8,12.3,23.4,40,6.3,0,0,93.9
7,6,183.1,437.7,12.5,12.6,90,7.6,0.2,0,91.2
7,4,104.2,474.9,9,22.1,49,2.7,0,0,91.6
7,4,104.2,474.9,9,24.2,32,1.8,0,0,91.6
7,4,104.2,474.9,9,24.3,30,1.8,0,0,91.6
2,5,104.2,474.9,9,18.7,53,1.8,0,0,91.6
9,4,104.2,474.9,9,25.3,39,0.9,0,8,91.6
4,5,100.2,466.3,6.3,22.9,40,1.3,0,2.64,91.6
7,6,180.4,430.8,11,26.9,28,5.4,0,86.45,93.1
8,6,88.8,440.9,8.5,17.1,67,3.6,0,6.57,92.3
7,5,180.4,430.8,11,22.2,48,1.3,0,0,93.1
6,4,89.5,290.8,6.4,14.3,46,1.8,0,0.9,90.4
8,6,89.5,290.8,6.4,15.4,45,2.2,0,0,90.4
8,6,147.8,377.2,12.7,19.6,43,4.9,0,0,91.2
6,5,71,233.8,0.4,10.6,90,2.7,0,0,53.4
6,5,93.3,298.1,7.5,20.7,25,4.9,0,0,90.4
6,5,93.3,298.1,7.5,19.1,39,5.4,0,3.52,90.4
3,6,94.1,232.1,7.1,19.2,38,4.5,0,0,91.1
3,6,94.1,232.1,7.1,19.2,38,4.5,0,0,91.1
6,5,28,113.8,3.5,11.3,94,4.9,0,0,85.1
1,4,84.1,714.3,5.7,19,52,2.2,0,0,89.6
7,4,84.1,714.3,5.7,17.1,53,5.4,0,0.41,89.6
3,4,84.1,714.3,5.7,23.8,35,3.6,0,5.18,89.6
2,4,105.8,758.1,9.9,16,45,1.8,0,0,92.4
2,4,105.8,758.1,9.9,24.9,27,2.2,0,0,92.4
7,4,105.8,758.1,9.9,25.3,27,2.7,0,0,92.4
6,3,105.8,758.1,9.9,24.8,28,1.8,0,14.29,92.4
2,4,46.2,706.6,0.4,12.2,78,6.3,0,0,50.4
6,5,115.4,777.1,8.8,24.3,27,4.9,0,0,92.6
4,4,115.4,777.1,8.8,19.7,41,1.8,0,1.58,92.6
3,4,134.7,817.5,7.2,18.5,30,2.7,0,0,91.2
4,5,96.2,739.4,8.6,18.6,24,5.8,0,0,92.4
4,4,96.2,739.4,8.6,19.2,24,4.9,0,3.78,92.4
6,5,119,783.5,7.5,21.6,27,2.2,0,0,92.8
5,4,119,783.5,7.5,21.6,28,6.3,0,4.41,92.8
6,3,119,783.5,7.5,18.9,34,7.2,0,34.36,92.8
1,4,119,783.5,7.5,16.8,28,4,0,7.21,92.8
6,5,119,783.5,7.5,16.8,28,4,0,1.01,92.8
3,5,136.9,822.8,6.8,12.9,39,2.7,0,2.18,90.7
6,5,53.3,726.9,5.4,13.7,56,1.8,0,4.42,88.1
1,4,102.3,751.5,8.4,24.2,27,3.1,0,0,92.2
5,4,102.3,751.5,8.4,24.1,27,3.1,0,0,92.2
6,5,102.3,751.5,8.4,21.2,32,2.2,0,0,92.2
6,5,102.3,751.5,8.4,19.7,35,1.8,0,0,92.2
4,3,102.3,751.5,8.4,23.5,27,4,0,3.33,92.2
3,3,102.3,751.5,8.4,24.2,27,3.1,0,6.58,92.2
7,4,124.4,795.3,8.5,21.5,28,4.5,0,15.64,91.2
4,4,124.4,795.3,8.5,17.1,41,2.2,0,11.22,91.2
1,4,87.7,721.1,9.5,18.1,54,3.1,0,2.13,92.1
2,3,108.4,764,6.2,18,51,5.4,0,0,91.6
4,3,108.4,764,6.2,9.8,86,1.8,0,0,91.6
7,4,108.4,764,6.2,19.3,44,2.2,0,0,91.6
6,3,108.4,764,6.2,23,34,2.2,0,56.04,91.6
8,6,108.4,764,6.2,22.7,35,2.2,0,7.48,91.6
2,4,108.4,764,6.2,20.4,41,1.8,0,1.47,91.6
2,5,108.4,764,6.2,19.3,44,2.2,0,3.93,91.6
8,6,111.7,770.3,6.5,15.7,51,2.2,0,0,91.9
6,3,130.1,807.1,7.5,20.6,37,1.8,0,0,91.5
8,6,130.1,807.1,7.5,15.9,51,4.5,0,2.18,91.5
6,3,130.1,807.1,7.5,12.2,66,4.9,0,6.1,91.5
2,2,130.1,807.1,7.5,16.8,43,3.1,0,5.83,91.5
1,4,130.1,807.1,7.5,21.3,35,2.2,0,28.19,91.5
5,4,99,745.3,9.6,10.1,75,3.6,0,0,92.1
3,4,99,745.3,9.6,17.4,57,4.5,0,0,92.1
5,4,99,745.3,9.6,12.8,64,3.6,0,1.64,92.1
5,4,99,745.3,9.6,10.1,75,3.6,0,3.71,92.1
4,4,99,745.3,9.6,15.4,53,6.3,0,7.31,92.1
7,4,99,745.3,9.6,20.6,43,3.6,0,2.03,92.1
7,4,99,745.3,9.6,19.8,47,2.7,0,1.72,92.1
7,4,99,745.3,9.6,18.7,50,2.2,0,5.97,92.1
4,4,99,745.3,9.6,20.8,35,4.9,0,13.06,92.1
4,4,99,745.3,9.6,20.8,35,4.9,0,1.26,92.1
6,3,122,789.7,10.2,15.9,55,3.6,0,0,92.5
6,3,122,789.7,10.2,19.7,39,2.7,0,0,92.5
1,4,122,789.7,10.2,21.1,39,2.2,0,8.12,92.5
6,5,122,789.7,10.2,18.4,42,2.2,0,1.09,92.5
4,3,122,789.7,10.2,17.3,45,4,0,3.94,92.5
7,4,55.2,732.3,11.6,15.2,64,3.1,0,0.52,88.2
4,3,111.7,770.3,6.5,15.9,53,2.2,0,2.93,91.9
6,5,111.7,770.3,6.5,21.1,35,2.7,0,5.65,91.9
6,5,111.7,770.3,6.5,19.6,45,3.1,0,20.03,91.9
4,5,132.3,812.1,12.5,15.9,38,5.4,0,1.75,91.1
4,5,132.3,812.1,12.5,16.4,27,3.6,0,0,91.1
6,5,94.3,744.4,8.4,16.8,47,4.9,0,12.64,91.2
4,5,276.3,825.1,7.1,13.8,77,7.6,0,0,91
7,4,276.3,825.1,7.1,13.8,77,7.6,0,11.06,91
3,4,133.6,520.5,8,14.2,58,4,0,0,91.9
4,5,203.2,664.5,8.1,10.4,75,0.9,0,0,92
5,4,222.4,698.6,13.9,20.3,42,2.7,0,0,94.8
6,5,290,855.3,7.4,10.3,78,4,0,18.3,90.3
6,5,94.3,744.4,8.4,15.4,57,4.9,0,39.35,91.2
8,6,207,672.6,8.2,21.1,54,2.2,0,0,92.1
2,2,231.1,715.1,8.4,21.9,42,2.2,0,174.63,93.7
6,5,18.9,30.6,8,8.7,51,5.8,0,0,90.9
4,5,1.1,171.4,0,5.2,100,0.9,0,0,18.7
5,4,101.3,458.8,11.9,19.3,39,7.2,0,7.73,93.7
8,6,194.1,643,6.8,16.2,63,2.7,0,16.33,90.7
8,6,217.7,690,18,28.2,29,1.8,0,5.86,95.2
9,6,248.4,753.8,6.3,20.5,58,2.7,0,42.87,91.6
8,4,273.8,819.1,7.7,21.3,44,4.5,0,12.18,91.6
2,4,181.3,613,7.6,20.9,50,2.2,0,16,91.6
3,4,96.7,750.5,11.4,20.6,55,5.4,0,24.59,90.5
5,5,18.9,30.6,8,11.6,48,5.4,0,0,90.9
6,4,227,706.7,12,23.3,34,3.1,0,28.74,94.8
7,4,227,706.7,12,23.3,34,3.1,0,0,94.8
7,4,9.5,58.3,4.1,7.5,71,6.3,0,9.96,84.7
8,6,91.3,738.1,7.2,20.7,46,2.7,0,30.18,91.1
1,3,276.3,825.1,7.1,21.9,43,4,0,70.76,91
2,4,15,25.6,11.4,15.2,19,7.6,0,0,93.4
6,5,4.6,46.7,2.2,5.3,68,1.8,0,0,84.1
4,5,9,56.9,3.5,10.1,62,1.8,0,51.78,85
4,3,96.7,750.5,11.4,20.4,55,4.9,0,3.64,90.5
5,6,181.3,613,7.6,24.3,33,3.6,0,3.63,91.6
1,2,231.1,715.1,8.4,25.9,32,3.1,0,0,93.7
9,5,49.5,297.7,14,28,34,4.5,0,0,93.3
9,5,49.5,297.7,14,28,34,4.5,0,8.16,93.3
3,4,88.2,731.7,8.3,22.8,46,4,0,4.95,91.1
9,9,227,706.7,12,25,36,4,0,0,94.8
8,6,194.1,643,6.8,21.3,41,3.6,0,0,90.7
2,4,84.8,725.1,3.7,21.8,34,2.2,0,6.04,87.9
2,2,212.1,680.9,9.5,27.9,27,2.2,0,0,94.6
6,5,291.3,860.6,4,17,67,4.9,0,3.95,87.1
4,5,8.2,55,2.9,14.2,46,4,0,0,84.7
4,3,290,855.3,7.4,19.9,44,3.1,0,7.8,90.3
1,4,96.2,450.2,12.1,23.4,31,5.4,0,0,92.3
6,3,7.3,52.8,2.7,14.7,42,2.7,0,0,84.1
